取代	取代	qu3dai4	substitute; replace; supersede
信	信	xin4	to believe; to trust; letter
影集	影集	ying3ji2	mini series on television; photo album
取得	取得	qu3de2	obtain; acquire; to gain
例如	例如	li4ru2	for example; for instance
民众	民眾	min2zhong4	populace; masses; the people
高速公路	高速公路	gao1su4 gong1lu4	highway
前	前	qian2	before; in front; forward
查询	查詢	cha2xun2	to inquire about
路况	路況	lu4kuang4	road conditions; traffic
避开	避開	bi4kai1	avoid; evade; keep away from
路段	路段	lu4duan4	section of a highway/railway
若	若	ruo4	be like; as if; if
运用	運用	yun4yong4	to use; apply; wield; utilize
病历	病歷	bing4li4	medical record; case history
例子	例子	li4zi5	example; case; instance
更加	更加	geng4jia1	more; even more
原本	原本	yuan2ben3	original; originally; formerly
忙碌	忙碌	mang2lu4	busy; bustle about
确实	確實	que4shi2	indeed; in truth; reliable; really
控制	控制	kong4zhi4	to control
表弟	表弟	biao3di4	younger male cousin (sons of paternal aunts or maternal uncles and aunts)
退步	退步	tui4bu4	step backward; fall behind; retrogress; give way; leeway
过度	過度	guo4du4	excessive; exceeding; lavishly
与	與	yu3, yu4, yu2	(formal) and; to give; together with; participate
生理	生理	sheng1li3	physiology
盯	盯	ding1	to stare; to gaze
萤幕	螢幕	ying2mu4	monitor; screen (TW)
疲倦	疲倦	pi2juan4	tired; weary
视力	視力	shi4li4	vision; eyesight
家长	家長	jia1zhang3	parent or guardian of a child; head of a family
此外	此外	ci3wai4	besides; in addition; moreover
户外	戶外	hu4wai4	outdoor 
人类	人類	ren2lei4	humanity; human race; mankind
正面	正面	zheng4mian4	front; obverse side; right side; positive; direct; open
同时	同時	tong2shi2	at the same time; simultaneously
负面	負面	fu4mian4	negative; the negative side
沉迷	沉迷	chen2mi2	indulge; wallow; confused; bewildered
无形中	無形中	wu2xing2zhong1	imperceptibly; virtually
远距教学	遠距教學	yuan3ju4jiao1xue2	distance learning 
大吵大闹	大吵大鬧	da4chao3da4nao4	make loud noises; shout and scream; make a scene
焦虑不安	焦慮不安	jiao1lv4bu4'an1	overly worried
总而言之	總而言之	zong3er2yan2zhi1	in short; in a word
该	該	gai1	should; deserve; it is time for (something); this (formal)
摆	擺	bai3	to put (on); state clearly; arrange; to sway; pendulum
总算	總算	zong3suan4	at long last; finally; on the whole
欸	欸	ai3, ei4, e1	(sigh); eh! (this character has many, many readings depending on context, region and so on)
呀	呀	ya5, ya1	ah; oh; (used for 啊 after words ending with a, e, i, o, or u)
衣橱	衣櫥	yi1chu2	wardrobe; closet
梳妆台	梳妝檯	shu1zhuang1 tai2	dressing table; furniture used by woman for dressing, equipped with mirrors and drawers
位置	位置	wei4zhi5	position; place; seat
空间	空間	kong1jian1	space; open air
科学	科學	ke1xue2	science; scientific knowledge
风水师	風水師	feng1shui3shi1	Feng Shui master
在意	在意	zai4 yi4	care about; mind; care
所谓	所謂	suo3wei4	so-called (not derogatory); what is referred to as
角度	角度	jiao3du4	angle; point of view
改造	改造	gai3zao4	to change; alter; to transform
学问	學問	xue2wen5	learning; knowledge
居住	居住	ju1zhu4	reside; dwell; to live (in a place)
日常	日常	ri4chang2	daily; everyday
布置	布置	bu4zhi4	arrange; lay out; decorate; assign
凶猛	凶猛	xiong1meng3	fierce; ferocious; savage
动物	動物	dong4wu4	animal
刀	刀	dao1	knife; blade (Kangxi radical 18)
剑	劍	jian4	sword 
脾气	脾氣	pi2qi5	temperament; disposition; temper; bad temper
暴躁	暴躁	bao4zao4	irritable
冲动	衝動	chong1dong4	impulsive; act on impulse
镜子	鏡子	jing4zi5	mirror; (colloquial) eyeglasses
床脚	床腳	chuang2jiao3	foot of the bed
光	光	guang1	light; ray; bright; only; merely; used up
摆饰	擺飾	bai3shi4	decor, ornaments
老婆	老婆	lao3po2	wife (informal)
把	把	ba3, ba4	(mw for things with handles); (pretransitive particle); to hold<br/>a grip; a handle; stem (of plants)
欺负	欺負	qi1fu5	to bully; intimidate
风水学	風水學	feng1shui3xue2	the study of Feng Shui
正对门	正對門	zheng4dui4men2	directly facing the door
譬如说	譬如說	pi4ru2shuo1	for example
一口气	一口氣	yi4kou3qi4	in one breath; in one go
死定了	死定了	si3ding4le5	to be screwed; to be toast
地理	地理	di4li3	geography
便利性	便利性	bian4li4xing4	convenience
周边	周邊	zhou1bian1	surrounding; periphery; rim; peripheral (computing)
住宅	住宅	zhu4zhai2	residence; dwelling; tenement
词	詞	ci2	word; term; statement; classical Chinese poetry using a set pattern
