公司	公司	gong1si1	company; corporation
觉	覺	jue2, jiao4	to feel; sense; ; wake up; sleep
够	夠	gou4	enough; to reach
忘	忘	wang4	forget; overlook; to neglect
尚	尚	shang4	still; yet; to value; to esteem
非	非	fei1	non-; un-; not be; wrongdoing; simply must (Kangxi radical 175)
难	難	nan2, nan4	difficult; bad<br/>trouble; to blame
往	往	wang3	go (in a direction); toward; in the past
样子	樣子	yang4zi5	manner; air; style; appearance; looks
便宜	便宜	pian2yi5	cheap
经济	經濟	jing1ji4	economy; economic
局	局	ju2	office; situation; gathering; part; (mw for games, rounds, matches, etc.)
当中	當中	dang1zhong1	among; in the middle; in the center
夗	夗	yuan4	turn over when asleep
蛋	蛋	dan4	egg
希	希	xi1	to hope
究	究	jiu1, jiu4	after all; to investigate; to study carefully
句子	句子	ju4zi5	sentence
工业	工業	gong1ye4	industry
运动	運動	yun4dong4	(physical) to exercise; movements; sports; campaign
怎	怎	zen3	how; what; why
树	樹	shu4	tree
贝	貝	bei4	shell; money (Kangxi radical 154)
事	事	shi4	matter; affair; thing; event; trouble; accident; job; work; responsibility; involvement
天	天	tian1	day; sky; heaven; weather
困	睏	kun4	sleepy; tired
困	困	kun4	surround; hard-pressed; stranded; destitute; tired (China)
香	香	xiang1	fragrant; savory (Kangxi radical 186)
游	游	you2	to swim; to travel; to tour; roam
打扰	打擾	da3rao3	disturb
课本	課本	ke4ben3	textbook
真实	真實	zhen1shi2	true; real; authentic
干净	乾淨	gan1jing4	clean; neat and tidy
工具	工具	gong1ju4	tool; instrument; means
跟	跟	gen1	to follow; with; to; from; and; heel
顺	順	shun4	smooth; to obey; to follow; to yield to; to arrange; take the opportunity to; convenient
照相	照相	zhao4xiang4	to take a photograph
要是	要是	yao4shi5	if; suppose; in case
急	急	ji2	hurried; worried; nervous; urgent
忧心	憂心	you1xin1	worry; concern; anxiety
好看	好看	hao3kan4	good-looking; nice-looking; attractive; interesting; good (of a movie, book, TV show, etc.)
为	為	wei2, wei4	be; become; for; on account of
邮	郵	you2	mail; post
一直	一直	yi4zhi2	always; all along; straight (in a straight line); from the beginning
后	後	hou4	back; behind; rear; after; later
机会	機會	ji1hui4	opportunity; chance; occasion
洗手间	洗手間	xi3shou3jian1	toilet; lavatory; washroom; restroom
内衣	內衣	nei4yi1	undergarment; underwear
付	付	fu4	to pay; hand over
病	病	bing4	ailment; sickness; illness
从小	從小	cong2xiao3	from childhood; as a child
些	些	xie1	some; few; several; (mw for indefinite amount)
方面	方面	fang1mian4	aspect; field; side; respect
不必	不必	bu2bi4	need not; does not have to; not necessarily
经费	經費	jing1fei4	funds; expenses
荡	盪	dang4	sway; loaf about; swing
鸡	雞	ji1	chicken
后面	後面	hou4mian5	rear; back; behind
机车	機車	ji1che1	locomotive; train engine car; motorcycle
东方	東方	dong1fang1	the East; Eastern countries
倒是	倒是	dao4shi4	to the contrary; actually; that's true (but)
